,Comparison,Metric,Segment,value
370,GTvsDL,MSD,opticNerve_merged_1,
371,GTvsDL,VolumeRatio,opticNerve_merged_1,
372,GTvsDLB,DICE,opticNerve_merged_1,
373,GTvsDLB,EPL,opticNerve_merged_1,
374,GTvsDLB,Hausdorff,opticNerve_merged_1,
375,GTvsDLB,LineRatio,opticNerve_merged_1,
376,GTvsDLB,MSD,opticNerve_merged_1,
377,GTvsDLB,VolumeRatio,opticNerve_merged_1,
378,GTvsATLAS,DICE,parotid_merged_1,0.7281615216425693
379,GTvsATLAS,EPL,parotid_merged_1,2871.73953125
380,GTvsATLAS,Hausdorff,parotid_merged_1,16.60864304298626
381,GTvsATLAS,LineRatio,parotid_merged_1,0.6236223559489048
382,GTvsATLAS,MSD,parotid_merged_1,0.9361465630578196
383,GTvsATLAS,VolumeRatio,parotid_merged_1,0.06787682585946292
384,GTvsDL,DICE,parotid_merged_1,0.8359873361755163
385,GTvsDL,EPL,parotid_merged_1,1839.6945901113013
386,GTvsDL,Hausdorff,parotid_merged_1,16.244092113617086
387,GTvsDL,LineRatio,parotid_merged_1,0.3938406844255101
388,GTvsDL,MSD,parotid_merged_1,0.4609094291334693
389,GTvsDL,VolumeRatio,parotid_merged_1,0.0672902509329052
390,GTvsDLB,DICE,parotid_merged_1,0.872728102022726
391,GTvsDLB,EPL,parotid_merged_1,1480.8329944349316
392,GTvsDLB,Hausdorff,parotid_merged_1,12.698134220975247
393,GTvsDLB,LineRatio,parotid_merged_1,0.3198957784576002
394,GTvsDLB,MSD,parotid_merged_1,0.31179699408190764
395,GTvsDLB,VolumeRatio,parotid_merged_1,0.04871213196910836
396,GTvsATLAS,DICE,pcm_low_1,0.5329386848238381
397,GTvsATLAS,EPL,pcm_low_1,480.6345486111111
398,GTvsATLAS,Hausdorff,pcm_low_1,15.804429203976007
399,GTvsATLAS,LineRatio,pcm_low_1,0.49493722434067206
400,GTvsATLAS,MSD,pcm_low_1,2.517800076745196
401,GTvsATLAS,VolumeRatio,pcm_low_1,0.21132026651051636
402,GTvsDL,DICE,pcm_low_1,0.5327180858300569
403,GTvsDL,EPL,pcm_low_1,533.4864430147059
404,GTvsDL,Hausdorff,pcm_low_1,14.313112004352707
405,GTvsDL,LineRatio,pcm_low_1,0.48672568937552396
406,GTvsDL,MSD,pcm_low_1,2.283000288351491
407,GTvsDL,VolumeRatio,pcm_low_1,0.3161680605780903
408,GTvsDLB,DICE,pcm_low_1,0.8262659650826608
409,GTvsDLB,EPL,pcm_low_1,213.63711939102564
410,GTvsDLB,Hausdorff,pcm_low_1,13.355977924856228
411,GTvsDLB,LineRatio,pcm_low_1,0.18243956471219067
412,GTvsDLB,MSD,pcm_low_1,0.6672273566232967
413,GTvsDLB,VolumeRatio,pcm_low_1,0.05713763118074983
414,GTvsATLAS,DICE,pcm_mid_1,0.620141224436437
415,GTvsATLAS,EPL,pcm_mid_1,658.328125
416,GTvsATLAS,Hausdorff,pcm_mid_1,11.565606878920303
417,GTvsATLAS,LineRatio,pcm_mid_1,0.4273917857281782
418,GTvsATLAS,MSD,pcm_mid_1,1.28833302943814
419,GTvsATLAS,VolumeRatio,pcm_mid_1,0.21902873132518877
420,GTvsDL,DICE,pcm_mid_1,0.5892938469952674
421,GTvsDL,EPL,pcm_mid_1,683.134765625
422,GTvsDL,Hausdorff,pcm_mid_1,14.0282032534402
423,GTvsDL,LineRatio,pcm_mid_1,0.4422467691790021
424,GTvsDL,MSD,pcm_mid_1,1.808274854141046
425,GTvsDL,VolumeRatio,pcm_mid_1,0.2709216477088775
426,GTvsDLB,DICE,pcm_mid_1,0.8501617089175383
427,GTvsDLB,EPL,pcm_mid_1,249.2546258223684
428,GTvsDLB,Hausdorff,pcm_mid_1,5.8303304977292525
429,GTvsDLB,LineRatio,pcm_mid_1,0.15359357150115854
430,GTvsDLB,MSD,pcm_mid_1,0.26038583082648914
431,GTvsDLB,VolumeRatio,pcm_mid_1,0.04070042321373082
432,GTvsATLAS,DICE,pcm_up_1,0.6226833532760789
433,GTvsATLAS,EPL,pcm_up_1,1144.4827223557693
434,GTvsATLAS,Hausdorff,pcm_up_1,19.977130602437622
435,GTvsATLAS,LineRatio,pcm_up_1,0.47589934234075515
